id;label;Latitude;Longitude;status
202;"Sept-iles";50.223333;-66.265556;healthy
206;"Fort Mcpherson";67.4075;-134.860556;healthy
209;"Bejaja";36.711997;5.069922;healthy
210;"Algier";36.691014;3.215408;healthy
211;"Djanet";24.292767;9.452444;healthy
216;"Tamanrasset";22.811461;5.451075;healthy
220;"Annaba";36.822225;7.809167;healthy
221;"Constantine";36.276028;6.620386;healthy
222;"Tebessa";35.431611;8.120717;healthy
224;"Tilrempt";32.930431;3.311542;healthy
225;"Tiaret";35.341136;1.463147;healthy
230;"Tlemcen";35.016667;-1.45;healthy
231;"Oran";35.623858;-0.621183;healthy
233;"Ghriss";35.207725;0.147142;healthy
234;"Adrar";27.837589;-0.186414;healthy
235;"Biskra";34.793289;5.738231;healthy
236;"El Golea";30.571294;2.859586;healthy
237;"Ghardaia";32.384106;3.794114;healthy
238;"Hassi Messaoud";31.672972;6.140444;healthy
239;"In Salah";27.251022;2.512017;healthy
240;"Touggourt";33.067803;6.088672;healthy
243;"Ouargla";31.917223;5.412778;healthy
244;"Zarzaitine";28.05155;9.642911;healthy
245;"Cotonou";6.357228;2.384353;healthy
246;"Ouagadougou";12.353194;-1.512417;healthy
247;"Bobo-dioulasso";11.160056;-4.330969;healthy
248;"Accra";5.605186;-0.166786;healthy
249;"Tamale";9.557192;-0.863214;healthy
251;"Sunyani";7.361828;-2.328756;healthy
252;"Takoradi";4.896056;-1.774756;healthy
253;"Abidjan";5.261386;-3.926294;healthy
260;"Abuja";9.006792;7.263172;healthy
262;"Benin";6.316981;5.599503;healthy
263;"Calabar";4.976019;8.347197;healthy
264;"Enugu";6.474272;7.561961;healthy
266;"Ibadan";7.362458;3.978333;healthy
267;"Ilorin";8.440211;4.493919;healthy
268;"Jos";9.639828;8.86905;healthy
269;"Kaduna";10.696025;7.320114;healthy
270;"Kano";12.047589;8.524622;healthy
273;"Lagos";6.577369;3.321156;healthy
275;"Port Hartcourt";5.015494;6.949594;healthy
276;"Sokoto";12.916322;5.207189;healthy
277;"Yola";9.257553;12.430422;healthy
280;"Niamey";13.481547;2.183614;healthy
286;"Monastir";35.758056;10.754722;healthy
287;"Tunis";36.851033;10.227217;healthy
290;"Gafsa";34.422022;8.822503;healthy
291;"Gabes";33.876919;10.103333;healthy
293;"Djerba";33.875031;10.775461;healthy
295;"Sfax";34.717953;10.690972;healthy
296;"Tozeur";33.939722;8.110556;healthy
298;"Lome";6.165611;1.254511;healthy
299;"Antwerp";51.189444;4.460278;healthy
302;"Brussels";50.901389;4.484444;healthy
304;"Charleroi";50.459197;4.453817;healthy
309;"Liege";50.637417;5.443222;healthy
310;"Ostend";51.198889;2.862222;healthy
337;"Berlin";52.380001;13.5225;healthy
338;"Dresden";51.132767;13.767161;healthy
339;"Erfurt";50.979811;10.958106;healthy
340;"Frankfurt";50.026421;8.543125;healthy
341;"Munster";52.134642;7.684831;healthy
342;"Hamburg";53.630389;9.988228;healthy
344;"Cologne";50.865917;7.142744;healthy
345;"Duesseldorf";51.289453;6.766775;healthy
346;"Munich";48.353783;11.786086;healthy
347;"Nuernberg";49.4987;11.066897;healthy
348;"Leipzig";51.432447;12.241633;healthy
349;"Saarbruecken";49.214553;7.109508;healthy
350;"Stuttgart";48.689878;9.221964;healthy
351;"Berlin";52.559686;13.287711;healthy
352;"Hannover";52.461056;9.685078;healthy
353;"Bremen";53.0475;8.786667;healthy
355;"Hahn";49.948672;7.263892;healthy
356;"Mannheim";49.472706;8.514264;healthy
362;"Hamburg";53.535886;9.837025;healthy
364;"Luebeck";53.805367;10.719222;healthy
371;"Paderborn";51.614089;8.616317;healthy
373;"Dortmund";51.518314;7.612242;healthy
374;"Augsburg";48.425158;10.931764;healthy
382;"Friedrichshafen";47.671317;9.511486;healthy
400;"Kassel";51.408394;9.377631;healthy
410;"Westerland";54.91325;8.340472;healthy
413;"Kuressaare";58.229883;22.509494;healthy
415;"Tallinn-ulemiste International";59.413317;24.832844;healthy
416;"Tartu";58.307461;26.690428;healthy
421;"Helsinki";60.317222;24.963333;healthy
428;"Ivalo";68.607269;27.405328;healthy
429;"Joensuu";62.662906;29.60755;healthy
430;"Jyvaskyla";62.399453;25.678253;healthy
432;"Kemi";65.781889;24.5991;healthy
433;"Kajaani";64.285472;27.692414;healthy
435;"Kruunupyy";63.721172;23.143131;healthy
437;"Kuusamo";65.987575;29.239381;healthy
438;"Kittila";67.701022;24.84685;healthy
439;"Kuopio";63.00715;27.797756;healthy
441;"Lappeenranta";61.044553;28.144397;healthy
442;"Mariehamn";60.122203;19.898156;healthy
446;"Oulu";64.930061;25.354564;healthy
448;"Pori";61.461686;21.799983;healthy
453;"Rovaniemi";66.564822;25.830411;healthy
455;"Savonlinna";61.943064;28.945136;healthy
458;"Tampere";61.414147;23.604392;healthy
460;"Turku";60.514142;22.262808;healthy
462;"Vaasa";63.05065;21.762175;healthy
465;"Belfast";54.6575;-6.215833;healthy
467;"Belfast";54.618056;-5.8725;healthy
468;"Londonderry";55.042778;-7.161111;healthy
469;"Birmingham";52.453856;-1.748028;healthy
472;"Golouchestershire";51.894167;-2.167222;healthy
478;"Manchester";53.353744;-2.27495;healthy
481;"Newquai";50.440558;-4.995408;healthy
488;"Cardiff";51.396667;-3.343333;healthy
490;"Bristol";51.382669;-2.719089;healthy
491;"Liverpool";53.333611;-2.849722;healthy
492;"London";51.874722;-0.368333;healthy
494;"Bournemouth";50.78;-1.8425;healthy
495;"Southampton";50.950261;-1.356803;healthy
497;"Alderney";49.706111;-2.214722;healthy
498;"Guernsey";49.434956;-2.601969;healthy
499;"Jersey";49.207947;-2.195508;healthy
502;"London";51.148056;-0.190278;healthy
503;"London";51.505278;0.055278;healthy
507;"London";51.4775;-0.461389;healthy
508;"Southend";51.571389;0.695556;healthy
514;"Blackpool";53.771667;-3.028611;healthy
515;"Humberside";53.574444;-0.350833;healthy
517;"Leeds";53.865897;-1.660569;healthy
519;"Hawarden";53.178056;-2.977778;healthy
520;"Isle Of Man";54.083333;-4.623889;healthy
521;"Newcastle";55.0375;-1.691667;healthy
522;"Teesside";54.509189;-1.429406;healthy
523;"East Midlands";52.831111;-1.328056;healthy
529;"Kirkwall";58.957778;-2.905;healthy
530;"Sumburgh";59.878889;-1.295556;healthy
531;"Wick";58.458889;-3.093056;healthy
532;"Aberdeen";57.201944;-2.197778;healthy
533;"Inverness";57.5425;-4.0475;healthy
534;"Glasgow";55.871944;-4.433056;healthy
535;"Edinburgh";55.95;-3.3725;healthy
536;"Islay";55.681944;-6.256667;healthy
537;"Prestwick";55.509444;-4.586667;healthy
538;"Benbecula";57.481111;-7.362778;healthy
540;"Dundee";56.452499;-3.025833;healthy
541;"Stornoway";58.215556;-6.331111;healthy
542;"Tiree";56.499167;-6.869167;healthy
